Fold1 eğitimine 50 epoch ile başlanıyor
Epoch [5/50], Train Loss: 0.0191, Train Acc: 0.9932, Test Loss: 0.2144, Test Acc: 0.9620
Epoch [6/50], Train Loss: 0.0167, Train Acc: 0.9947, Test Loss: 0.1795, Test Acc: 0.9633
Epoch [7/50], Train Loss: 0.0176, Train Acc: 0.9943, Test Loss: 0.2383, Test Acc: 0.9540
Epoch [8/50], Train Loss: 0.0116, Train Acc: 0.9957, Test Loss: 0.1727, Test Acc: 0.9660
Epoch [9/50], Train Loss: 0.0121, Train Acc: 0.9966, Test Loss: 0.2301, Test Acc: 0.9580
Epoch [10/50], Train Loss: 0.0104, Train Acc: 0.9969, Test Loss: 0.2603, Test Acc: 0.9487
Epoch [11/50], Train Loss: 0.0088, Train Acc: 0.9968, Test Loss: 0.2500, Test Acc: 0.9593
Epoch [12/50], Train Loss: 0.0101, Train Acc: 0.9965, Test Loss: 0.2521, Test Acc: 0.9587
Epoch [13/50], Train Loss: 0.0088, Train Acc: 0.9969, Test Loss: 0.2753, Test Acc: 0.9593
Epoch [14/50], Train Loss: 0.0072, Train Acc: 0.9976, Test Loss: 0.2395, Test Acc: 0.9633
Epoch [15/50], Train Loss: 0.0062, Train Acc: 0.9981, Test Loss: 0.2784, Test Acc: 0.9580
Epoch [16/50], Train Loss: 0.0092, Train Acc: 0.9970, Test Loss: 0.2412, Test Acc: 0.9633
Epoch [17/50], Train Loss: 0.0068, Train Acc: 0.9977, Test Loss: 0.2838, Test Acc: 0.9673
Epoch [18/50], Train Loss: 0.0055, Train Acc: 0.9981, Test Loss: 0.2878, Test Acc: 0.9633
Epoch [19/50], Train Loss: 0.0044, Train Acc: 0.9986, Test Loss: 0.3909, Test Acc: 0.9507
Epoch [20/50], Train Loss: 0.0050, Train Acc: 0.9981, Test Loss: 0.2494, Test Acc: 0.9640
Epoch [21/50], Train Loss: 0.0067, Train Acc: 0.9978, Test Loss: 0.3540, Test Acc: 0.9547
Epoch [22/50], Train Loss: 0.0059, Train Acc: 0.9981, Test Loss: 0.2687, Test Acc: 0.9580
Epoch [23/50], Train Loss: 0.0046, Train Acc: 0.9983, Test Loss: 0.3262, Test Acc: 0.9547
Epoch [24/50], Train Loss: 0.0034, Train Acc: 0.9991, Test Loss: 0.2873, Test Acc: 0.9640
Epoch [25/50], Train Loss: 0.0101, Train Acc: 0.9970, Test Loss: 0.2503, Test Acc: 0.9620
Epoch [26/50], Train Loss: 0.0034, Train Acc: 0.9991, Test Loss: 0.2000, Test Acc: 0.9707
Epoch [27/50], Train Loss: 0.0040, Train Acc: 0.9988, Test Loss: 0.3473, Test Acc: 0.9627
Epoch [28/50], Train Loss: 0.0054, Train Acc: 0.9982, Test Loss: 0.2734, Test Acc: 0.9613
Epoch [29/50], Train Loss: 0.0033, Train Acc: 0.9990, Test Loss: 0.3026, Test Acc: 0.9580
Epoch [30/50], Train Loss: 0.0056, Train Acc: 0.9984, Test Loss: 0.3280, Test Acc: 0.9633
Epoch [31/50], Train Loss: 0.0034, Train Acc: 0.9989, Test Loss: 0.3127, Test Acc: 0.9513
Epoch [32/50], Train Loss: 0.0042, Train Acc: 0.9985, Test Loss: 0.2200, Test Acc: 0.9653
Epoch [33/50], Train Loss: 0.0050, Train Acc: 0.9986, Test Loss: 0.2105, Test Acc: 0.9653
Epoch [34/50], Train Loss: 0.0034, Train Acc: 0.9991, Test Loss: 0.2463, Test Acc: 0.9673
Epoch [35/50], Train Loss: 0.0024, Train Acc: 0.9990, Test Loss: 0.4490, Test Acc: 0.9507
Epoch [36/50], Train Loss: 0.0016, Train Acc: 0.9993, Test Loss: 0.4609, Test Acc: 0.9607
Epoch [37/50], Train Loss: 0.0037, Train Acc: 0.9992, Test Loss: 0.3339, Test Acc: 0.9713
Epoch [38/50], Train Loss: 0.0044, Train Acc: 0.9984, Test Loss: 0.3287, Test Acc: 0.9647
